Title,Type,Finishing,Location,City,Area,Beds,Baths,Price,Price_per_sqm,URL
Property 211,Apartment,Fully Finished,Maadi,North Coast,164 sqm,5,3,"600,235 EGP",14480.468522728228,https://example.com/property/211
Property 212,Townhouse,Semi Finished,Cairo,Cairo,160 sqm,3,2,"4,243,856 EGP",43978.577197142215,https://example.com/property/212
Property 213,Apartment,Unknown,Cairo,Giza,231 sqm,5,2,"8,584,043 EGP",31313.885291330393,https://example.com/property/213
Property 214,Villa,Unknown,Cairo,Cairo,452 sqm,5,1,"3,785,659 EGP",28852.871764202733,https://example.com/property/214
Property 215,Villa,Semi Finished,Cairo,North Coast,50 sqm,5,1,"834,544 EGP",49243.904980540385,https://example.com/property/215
Property 216,Villa,Fully Finished,New Cairo,Cairo,455 sqm,1,1,"7,588,706 EGP",39615.131877640786,https://example.com/property/216
Property 217,Townhouse,Semi Finished,Sheikh Zayed,North Coast,119 sqm,3,2,"8,119,363 EGP",14720.241064774995,https://example.com/property/217
Property 218,Apartment,Semi Finished,Giza,North Coast,495 sqm,2,1,"2,025,640 EGP",40261.56668904963,https://example.com/property/218
Property 219,Apartment,Semi Finished,New Cairo,Cairo,479 sqm,1,2,"5,604,734 EGP",13809.95735891478,https://example.com/property/219
Property 220,Apartment,Unknown,New Cairo,Giza,272 sqm,4,2,"2,323,576 EGP",11098.822500519394,https://example.com/property/220
Property 221,Townhouse,Semi Finished,Giza,Suez,280 sqm,3,4,"7,332,726 EGP",26145.035810795885,https://example.com/property/221
Property 222,Villa,Unknown,Giza,Cairo,266 sqm,3,1,"3,079,729 EGP",49743.12691276875,https://example.com/property/222
Property 223,Villa,Unknown,Cairo,Suez,335 sqm,4,4,"3,504,043 EGP",16995.357447794508,https://example.com/property/223
Property 224,Apartment,Unknown,New Cairo,Cairo,90 sqm,4,3,"8,527,223 EGP",36905.7737410716,https://example.com/property/224
Property 225,Villa,Fully Finished,Maadi,Suez,64 sqm,4,3,"5,025,062 EGP",16935.842648244776,https://example.com/property/225
Property 226,Villa,Unknown,Giza,Giza,75 sqm,2,3,"6,862,667 EGP",38991.47899833544,https://example.com/property/226
Property 227,Townhouse,Unknown,Giza,Giza,249 sqm,5,2,"4,322,543 EGP",30214.146729513046,https://example.com/property/227
Property 228,Townhouse,Fully Finished,Sheikh Zayed,Cairo,173 sqm,3,2,"3,331,065 EGP",37198.86840357505,https://example.com/property/228
Property 229,Townhouse,Unknown,Maadi,North Coast,329 sqm,5,2,"6,442,041 EGP",18114.927036569385,https://example.com/property/229
Property 230,Townhouse,Semi Finished,Maadi,Suez,496 sqm,5,1,"1,971,146 EGP",39825.133300820075,https://example.com/property/230
Property 231,Apartment,Semi Finished,Giza,North Coast,223 sqm,4,4,"4,043,498 EGP",49824.76238490827,https://example.com/property/231
Property 232,Townhouse,Unknown,Cairo,North Coast,308 sqm,2,2,"2,485,851 EGP",36626.02002503839,https://example.com/property/232
Property 233,Villa,Fully Finished,Sheikh Zayed,North Coast,237 sqm,1,4,"7,110,052 EGP",29739.199922915108,https://example.com/property/233
Property 234,Apartment,Semi Finished,Maadi,Giza,431 sqm,2,4,"9,469,983 EGP",46926.959544770594,https://example.com/property/234
Property 235,Villa,Fully Finished,Giza,Cairo,456 sqm,5,4,"9,957,354 EGP",10634.073689275052,https://example.com/property/235
Property 236,Villa,Fully Finished,Maadi,Cairo,444 sqm,2,1,"4,777,629 EGP",39196.94077143284,https://example.com/property/236
Property 237,Villa,Semi Finished,Sheikh Zayed,Giza,488 sqm,4,1,"2,899,038 EGP",45549.86067255252,https://example.com/property/237
Property 238,Townhouse,Fully Finished,Sheikh Zayed,Giza,62 sqm,1,3,"4,706,879 EGP",12466.983344838298,https://example.com/property/238
Property 239,Townhouse,Semi Finished,New Cairo,Cairo,427 sqm,4,3,"8,549,059 EGP",28002.56681663033,https://example.com/property/239
Property 240,Apartment,Fully Finished,Giza,North Coast,388 sqm,1,4,"2,457,053 EGP",18188.778157999957,https://example.com/property/240
Property 241,Apartment,Semi Finished,Sheikh Zayed,Suez,152 sqm,5,3,"9,544,908 EGP",32660.726623513205,https://example.com/property/241
Property 242,Townhouse,Unknown,New Cairo,Suez,480 sqm,1,4,"3,747,724 EGP",35981.71834414642,https://example.com/property/242
Property 243,Villa,Semi Finished,New Cairo,Suez,116 sqm,1,1,"9,865,134 EGP",22104.9273171502,https://example.com/property/243
Property 244,Apartment,Semi Finished,Maadi,North Coast,355 sqm,1,1,"8,466,784 EGP",28399.266787124034,https://example.com/property/244
Property 245,Townhouse,Semi Finished,Maadi,Cairo,151 sqm,2,1,"8,181,420 EGP",21173.57941106238,https://example.com/property/245
Property 246,Townhouse,Semi Finished,New Cairo,Giza,244 sqm,2,2,"3,520,094 EGP",24775.64657820455,https://example.com/property/246
Property 247,Townhouse,Fully Finished,Maadi,Cairo,373 sqm,5,4,"583,383 EGP",16381.598267536943,https://example.com/property/247
Property 248,Villa,Unknown,Sheikh Zayed,North Coast,303 sqm,1,1,"4,130,262 EGP",45422.377743425255,https://example.com/property/248
Property 249,Townhouse,Semi Finished,Cairo,Giza,242 sqm,3,4,"3,367,189 EGP",10400.416422365457,https://example.com/property/249
Property 250,Townhouse,Fully Finished,Sheikh Zayed,North Coast,196 sqm,5,3,"855,271 EGP",45296.36745775154,https://example.com/property/250
Property 251,Townhouse,Unknown,New Cairo,Suez,427 sqm,1,3,"5,300,969 EGP",32867.15513398954,https://example.com/property/251
Property 252,Townhouse,Unknown,New Cairo,Suez,114 sqm,1,1,"4,328,797 EGP",23266.313767080697,https://example.com/property/252
Property 253,Apartment,Unknown,Sheikh Zayed,North Coast,243 sqm,2,4,"6,528,286 EGP",38922.28501841319,https://example.com/property/253
Property 254,Apartment,Unknown,Maadi,Giza,456 sqm,5,1,"6,401,270 EGP",30310.086074506573,https://example.com/property/254
Property 255,Townhouse,Semi Finished,Maadi,Giza,430 sqm,1,3,"1,647,093 EGP",29964.34632430426,https://example.com/property/255
Property 256,Villa,Semi Finished,New Cairo,Cairo,230 sqm,1,1,"9,781,172 EGP",14405.691316758657,https://example.com/property/256
Property 257,Apartment,Fully Finished,Giza,Suez,393 sqm,5,4,"2,275,848 EGP",25580.64103781635,https://example.com/property/257
Property 258,Townhouse,Fully Finished,Maadi,Cairo,420 sqm,3,3,"4,730,103 EGP",19642.573834269468,https://example.com/property/258
Property 259,Apartment,Fully Finished,Sheikh Zayed,Cairo,449 sqm,5,2,"5,137,116 EGP",10627.836223851185,https://example.com/property/259
Property 260,Apartment,Unknown,Maadi,North Coast,295 sqm,5,3,"8,224,096 EGP",24403.985231284532,https://example.com/property/260
Property 261,Villa,Unknown,Sheikh Zayed,North Coast,142 sqm,3,2,"1,442,681 EGP",13592.885177024189,https://example.com/property/261
Property 262,Townhouse,Semi Finished,New Cairo,Cairo,164 sqm,5,1,"4,572,120 EGP",20273.201509007406,https://example.com/property/262
Property 263,Townhouse,Unknown,Maadi,Suez,183 sqm,1,1,"6,470,770 EGP",13700.664847323778,https://example.com/property/263
Property 264,Villa,Unknown,Sheikh Zayed,North Coast,317 sqm,5,4,"2,543,978 EGP",14037.665022255955,https://example.com/property/264
Property 265,Villa,Unknown,New Cairo,Cairo,64 sqm,3,2,"6,460,945 EGP",17960.45177660753,https://example.com/property/265
Property 266,Townhouse,Fully Finished,Giza,Cairo,336 sqm,4,1,"9,274,815 EGP",49993.96977945601,https://example.com/property/266
Property 267,Townhouse,Fully Finished,Sheikh Zayed,Cairo,213 sqm,5,2,"9,976,422 EGP",10087.36571428995,https://example.com/property/267
Property 268,Villa,Semi Finished,Giza,Cairo,182 sqm,2,1,"808,285 EGP",35546.905444816206,https://example.com/property/268
Property 269,Apartment,Unknown,Giza,Cairo,445 sqm,1,3,"2,738,088 EGP",15649.747921062293,https://example.com/property/269
Property 270,Apartment,Unknown,Cairo,Cairo,257 sqm,1,1,"3,447,917 EGP",46825.12546843103,https://example.com/property/270
Property 271,Villa,Semi Finished,Maadi,North Coast,92 sqm,2,4,"4,291,697 EGP",13745.315733345169,https://example.com/property/271
Property 272,Apartment,Unknown,Sheikh Zayed,Suez,422 sqm,2,3,"2,801,442 EGP",48202.52748504946,https://example.com/property/272
Property 273,Villa,Unknown,Giza,Cairo,71 sqm,5,4,"2,433,135 EGP",34437.05549933911,https://example.com/property/273
Property 274,Apartment,Fully Finished,Cairo,Giza,377 sqm,2,3,"9,568,261 EGP",10050.72307661961,https://example.com/property/274
Property 275,Apartment,Semi Finished,New Cairo,North Coast,398 sqm,4,2,"9,225,955 EGP",45760.28791667224,https://example.com/property/275
Property 276,Townhouse,Semi Finished,Sheikh Zayed,North Coast,208 sqm,3,4,"946,428 EGP",30868.47205467673,https://example.com/property/276
Property 277,Townhouse,Semi Finished,Giza,Cairo,421 sqm,2,1,"3,718,723 EGP",20506.789413219383,https://example.com/property/277
Property 278,Apartment,Semi Finished,Maadi,North Coast,282 sqm,2,2,"4,348,911 EGP",40691.1671006252,https://example.com/property/278
Property 279,Apartment,Fully Finished,Cairo,Cairo,258 sqm,4,1,"2,770,638 EGP",47066.6221554748,https://example.com/property/279
Property 280,Townhouse,Fully Finished,Giza,Suez,70 sqm,1,3,"6,474,292 EGP",29347.632925871756,https://example.com/property/280
Property 281,Townhouse,Unknown,Maadi,Suez,180 sqm,1,3,"6,583,617 EGP",22622.138977724433,https://example.com/property/281
Property 282,Townhouse,Unknown,Giza,North Coast,468 sqm,5,1,"8,579,790 EGP",41557.80495739707,https://example.com/property/282
Property 283,Villa,Unknown,Sheikh Zayed,North Coast,226 sqm,4,1,"7,538,258 EGP",37271.419911538185,https://example.com/property/283
Property 284,Apartment,Unknown,Sheikh Zayed,Giza,296 sqm,3,2,"5,654,446 EGP",45550.099350010896,https://example.com/property/284
Property 285,Townhouse,Fully Finished,Sheikh Zayed,North Coast,289 sqm,3,1,"6,709,074 EGP",37700.560510447714,https://example.com/property/285
Property 286,Apartment,Semi Finished,Cairo,Giza,315 sqm,4,4,"3,102,893 EGP",19741.133555981454,https://example.com/property/286
Property 287,Villa,Fully Finished,Sheikh Zayed,Suez,77 sqm,3,4,"6,134,033 EGP",47266.36999036076,https://example.com/property/287
Property 288,Villa,Unknown,Maadi,Suez,212 sqm,1,1,"5,147,658 EGP",14193.429888239652,https://example.com/property/288
Property 289,Townhouse,Fully Finished,Giza,Cairo,375 sqm,3,4,"1,766,772 EGP",20717.710004273915,https://example.com/property/289
Property 290,Villa,Semi Finished,New Cairo,Suez,140 sqm,3,1,"2,804,170 EGP",30807.784308955423,https://example.com/property/290
Property 291,Apartment,Semi Finished,Maadi,Giza,141 sqm,4,2,"3,271,087 EGP",32629.681042836055,https://example.com/property/291
Property 292,Townhouse,Fully Finished,Maadi,North Coast,54 sqm,4,4,"9,280,940 EGP",10612.423465076217,https://example.com/property/292
Property 293,Apartment,Fully Finished,Sheikh Zayed,Cairo,246 sqm,3,4,"2,688,673 EGP",41222.9090328376,https://example.com/property/293
Property 294,Apartment,Fully Finished,Cairo,Giza,447 sqm,2,1,"3,247,817 EGP",24464.29273701558,https://example.com/property/294
Property 295,Villa,Unknown,Giza,North Coast,73 sqm,4,4,"4,008,864 EGP",26256.741640085515,https://example.com/property/295
Property 296,Villa,Fully Finished,Cairo,Cairo,136 sqm,5,3,"6,805,556 EGP",42374.78177747783,https://example.com/property/296
Property 297,Villa,Fully Finished,Giza,Suez,189 sqm,5,2,"1,623,264 EGP",25171.335669101783,https://example.com/property/297
Property 298,Villa,Fully Finished,Giza,Giza,379 sqm,1,2,"9,562,479 EGP",11888.995059790193,https://example.com/property/298
Property 299,Villa,Semi Finished,Cairo,North Coast,338 sqm,3,4,"8,722,926 EGP",17057.590818814013,https://example.com/property/299
Property 300,Townhouse,Semi Finished,Maadi,Cairo,237 sqm,2,4,"5,983,552 EGP",48236.1268955273,https://example.com/property/300
Property 301,Apartment,Unknown,Giza,Cairo,391 sqm,1,3,"6,903,359 EGP",12816.214496100567,https://example.com/property/301
Property 302,Apartment,Unknown,Cairo,Suez,324 sqm,3,3,"658,274 EGP",24197.24803872065,https://example.com/property/302
Property 303,Apartment,Semi Finished,Giza,North Coast,453 sqm,4,4,"3,719,975 EGP",30127.166682053783,https://example.com/property/303
Property 304,Apartment,Semi Finished,New Cairo,Suez,418 sqm,5,4,"8,058,772 EGP",29731.233093542403,https://example.com/property/304
Property 305,Villa,Semi Finished,Maadi,Suez,163 sqm,2,3,"1,236,088 EGP",10158.39772048571,https://example.com/property/305
Property 306,Apartment,Fully Finished,Sheikh Zayed,North Coast,172 sqm,5,1,"3,181,981 EGP",30046.509258299615,https://example.com/property/306
Property 307,Townhouse,Fully Finished,Giza,North Coast,106 sqm,4,3,"6,060,319 EGP",25350.89831909637,https://example.com/property/307
Property 308,Townhouse,Semi Finished,New Cairo,North Coast,201 sqm,3,1,"2,935,923 EGP",48883.17341898229,https://example.com/property/308
Property 309,Apartment,Fully Finished,Sheikh Zayed,Giza,499 sqm,4,2,"9,372,790 EGP",16366.363359753193,https://example.com/property/309
Property 310,Apartment,Fully Finished,Sheikh Zayed,North Coast,232 sqm,4,2,"1,745,056 EGP",24166.167870379802,https://example.com/property/310
Property 311,Townhouse,Unknown,Giza,Cairo,149 sqm,5,3,"8,075,246 EGP",26779.25940359279,https://example.com/property/311
Property 312,Townhouse,Semi Finished,Cairo,Suez,393 sqm,2,1,"5,325,512 EGP",25627.74148403795,https://example.com/property/312
Property 313,Villa,Semi Finished,Giza,Giza,294 sqm,4,3,"7,628,142 EGP",36633.233106074505,https://example.com/property/313
Property 314,Townhouse,Fully Finished,New Cairo,North Coast,117 sqm,5,3,"3,451,795 EGP",18620.514301910753,https://example.com/property/314
Property 315,Villa,Semi Finished,Sheikh Zayed,Giza,221 sqm,2,1,"5,387,651 EGP",18842.862112559673,https://example.com/property/315
Property 316,Villa,Unknown,Giza,North Coast,236 sqm,3,3,"8,639,935 EGP",39168.43794003413,https://example.com/property/316
Property 317,Villa,Unknown,Cairo,Giza,389 sqm,3,2,"4,935,341 EGP",30011.620747127185,https://example.com/property/317
Property 318,Villa,Unknown,Giza,Suez,59 sqm,1,4,"3,917,338 EGP",26606.227042292416,https://example.com/property/318
Property 319,Villa,Semi Finished,Maadi,Suez,171 sqm,5,4,"5,593,476 EGP",16768.122067090073,https://example.com/property/319
Property 320,Apartment,Semi Finished,Cairo,Cairo,282 sqm,2,3,"7,314,946 EGP",17501.088916486664,https://example.com/property/320
Property 321,Townhouse,Semi Finished,New Cairo,Cairo,170 sqm,4,1,"4,713,851 EGP",10422.065472636023,https://example.com/property/321
Property 322,Villa,Semi Finished,Sheikh Zayed,North Coast,332 sqm,3,1,"9,419,331 EGP",13657.05075446837,https://example.com/property/322
Property 323,Townhouse,Semi Finished,Giza,Suez,266 sqm,2,2,"3,301,985 EGP",32273.54778760964,https://example.com/property/323
Property 324,Townhouse,Unknown,Cairo,Giza,212 sqm,5,1,"5,016,904 EGP",45674.925200336394,https://example.com/property/324
Property 325,Villa,Fully Finished,Maadi,Giza,477 sqm,1,1,"7,690,812 EGP",21486.5906052223,https://example.com/property/325
Property 326,Apartment,Unknown,Cairo,Giza,334 sqm,3,2,"7,046,650 EGP",23109.889035845124,https://example.com/property/326
Property 327,Villa,Semi Finished,Maadi,Cairo,108 sqm,2,3,"8,704,589 EGP",14624.224424460488,https://example.com/property/327
Property 328,Apartment,Unknown,New Cairo,Giza,302 sqm,2,4,"9,969,687 EGP",25545.237824284108,https://example.com/property/328
Property 329,Townhouse,Semi Finished,Sheikh Zayed,Cairo,401 sqm,2,2,"4,555,154 EGP",11488.868182773167,https://example.com/property/329
Property 330,Apartment,Semi Finished,New Cairo,Cairo,368 sqm,5,3,"1,555,933 EGP",46704.027850476006,https://example.com/property/330
Property 331,Apartment,Unknown,Giza,North Coast,127 sqm,5,2,"788,950 EGP",36924.45392498115,https://example.com/property/331
Property 332,Apartment,Semi Finished,Cairo,Giza,487 sqm,5,3,"7,405,330 EGP",49629.95237572875,https://example.com/property/332
Property 333,Townhouse,Fully Finished,Maadi,Giza,251 sqm,4,2,"8,803,129 EGP",45312.926507139746,https://example.com/property/333
Property 334,Townhouse,Semi Finished,Maadi,Suez,121 sqm,2,3,"2,596,769 EGP",28919.623747926107,https://example.com/property/334
Property 335,Apartment,Fully Finished,Cairo,North Coast,131 sqm,3,2,"2,005,256 EGP",30787.401246015077,https://example.com/property/335
Property 336,Apartment,Fully Finished,Cairo,Suez,94 sqm,5,3,"1,090,948 EGP",17623.041860687754,https://example.com/property/336
Property 337,Villa,Semi Finished,Giza,North Coast,411 sqm,5,2,"8,315,677 EGP",28481.573713582224,https://example.com/property/337
Property 338,Apartment,Unknown,New Cairo,Giza,104 sqm,2,4,"3,458,128 EGP",46121.11493971247,https://example.com/property/338
Property 339,Villa,Fully Finished,Maadi,Cairo,106 sqm,5,4,"4,316,120 EGP",12034.136945432845,https://example.com/property/339
Property 340,Apartment,Unknown,Giza,Cairo,432 sqm,4,1,"5,276,126 EGP",44542.272119932386,https://example.com/property/340
Property 341,Villa,Fully Finished,New Cairo,Cairo,205 sqm,4,3,"8,474,805 EGP",23637.91206570439,https://example.com/property/341
Property 342,Townhouse,Semi Finished,Giza,Cairo,63 sqm,5,2,"6,682,915 EGP",45980.510603852395,https://example.com/property/342
Property 343,Apartment,Semi Finished,Maadi,Cairo,73 sqm,2,3,"6,343,113 EGP",47635.196253659386,https://example.com/property/343
Property 344,Apartment,Fully Finished,Cairo,Suez,113 sqm,2,4,"2,168,884 EGP",36834.59548007624,https://example.com/property/344
Property 345,Apartment,Semi Finished,Cairo,North Coast,146 sqm,2,3,"5,375,303 EGP",36576.95146370711,https://example.com/property/345
Property 346,Apartment,Fully Finished,New Cairo,Giza,349 sqm,1,2,"7,296,119 EGP",28110.173508349602,https://example.com/property/346
Property 347,Villa,Semi Finished,Sheikh Zayed,Suez,120 sqm,5,3,"9,745,978 EGP",43421.6089817483,https://example.com/property/347
Property 348,Apartment,Unknown,New Cairo,North Coast,103 sqm,2,2,"2,413,359 EGP",48464.510337331325,https://example.com/property/348
Property 349,Townhouse,Semi Finished,Sheikh Zayed,Cairo,394 sqm,4,4,"590,661 EGP",41003.27201356477,https://example.com/property/349
Property 350,Townhouse,Unknown,Giza,North Coast,351 sqm,3,4,"1,215,363 EGP",34877.469350268366,https://example.com/property/350
Property 351,Apartment,Semi Finished,Giza,North Coast,245 sqm,3,4,"4,070,598 EGP",34271.71583285347,https://example.com/property/351
Property 352,Townhouse,Unknown,Maadi,Cairo,297 sqm,2,1,"8,295,174 EGP",43978.79606334649,https://example.com/property/352
Property 353,Apartment,Semi Finished,Sheikh Zayed,Cairo,190 sqm,3,4,"567,849 EGP",31648.150630851935,https://example.com/property/353
Property 354,Apartment,Unknown,Maadi,Cairo,267 sqm,3,3,"4,838,940 EGP",42154.395449952906,https://example.com/property/354
Property 355,Townhouse,Fully Finished,Cairo,Giza,278 sqm,1,1,"3,627,690 EGP",30355.41020696983,https://example.com/property/355
Property 356,Apartment,Fully Finished,Sheikh Zayed,Cairo,224 sqm,4,4,"998,576 EGP",12497.770998956965,https://example.com/property/356
Property 357,Townhouse,Unknown,New Cairo,Giza,457 sqm,4,3,"4,777,244 EGP",25357.88035616621,https://example.com/property/357
Property 358,Villa,Semi Finished,Cairo,Cairo,57 sqm,1,3,"2,920,112 EGP",27777.63830685995,https://example.com/property/358
Property 359,Apartment,Unknown,Cairo,Giza,401 sqm,1,3,"3,842,905 EGP",15664.689799464688,https://example.com/property/359
Property 360,Villa,Semi Finished,New Cairo,North Coast,105 sqm,3,2,"7,203,345 EGP",14099.853167568512,https://example.com/property/360
Property 361,Townhouse,Fully Finished,Cairo,Suez,408 sqm,5,1,"5,454,734 EGP",31418.597986278164,https://example.com/property/361
Property 362,Villa,Semi Finished,Sheikh Zayed,North Coast,327 sqm,3,3,"1,684,150 EGP",13405.745462243285,https://example.com/property/362
Property 363,Villa,Fully Finished,Maadi,North Coast,429 sqm,1,2,"9,633,438 EGP",22117.806715603358,https://example.com/property/363
Property 364,Townhouse,Semi Finished,Cairo,Cairo,93 sqm,4,4,"6,541,152 EGP",39783.87903852304,https://example.com/property/364
Property 365,Villa,Semi Finished,Sheikh Zayed,Giza,301 sqm,3,3,"7,775,750 EGP",48577.28718271923,https://example.com/property/365
Property 366,Villa,Semi Finished,Giza,Suez,275 sqm,5,2,"1,252,524 EGP",38714.823222077146,https://example.com/property/366
Property 367,Townhouse,Unknown,Sheikh Zayed,Cairo,367 sqm,3,3,"947,054 EGP",49705.021938114805,https://example.com/property/367
Property 368,Villa,Unknown,Maadi,Cairo,290 sqm,2,1,"684,756 EGP",37933.51885117611,https://example.com/property/368
Property 369,Townhouse,Fully Finished,Sheikh Zayed,Cairo,293 sqm,3,1,"2,293,543 EGP",21751.7788261731,https://example.com/property/369
Property 370,Villa,Fully Finished,New Cairo,North Coast,243 sqm,1,4,"4,436,879 EGP",36882.101620214475,https://example.com/property/370
Property 371,Townhouse,Unknown,Maadi,Giza,188 sqm,4,3,"9,390,348 EGP",38086.270607876155,https://example.com/property/371
Property 372,Townhouse,Fully Finished,Giza,Giza,267 sqm,4,2,"4,842,066 EGP",24869.079384658424,https://example.com/property/372
Property 373,Villa,Unknown,New Cairo,Suez,103 sqm,1,4,"3,257,423 EGP",10708.55402437556,https://example.com/property/373
Property 374,Villa,Semi Finished,Sheikh Zayed,Giza,482 sqm,2,3,"5,838,384 EGP",38127.991391019474,https://example.com/property/374
Property 375,Villa,Fully Finished,Maadi,Giza,371 sqm,1,4,"1,563,378 EGP",10868.003811021665,https://example.com/property/375
Property 376,Apartment,Fully Finished,Giza,Cairo,478 sqm,3,2,"6,290,305 EGP",35247.52312240285,https://example.com/property/376
Property 377,Apartment,Unknown,New Cairo,Cairo,152 sqm,1,4,"5,900,103 EGP",16544.659549702203,https://example.com/property/377
Property 378,Apartment,Fully Finished,Giza,North Coast,445 sqm,1,4,"8,023,933 EGP",32624.141109921733,https://example.com/property/378
Property 379,Townhouse,Fully Finished,Sheikh Zayed,Cairo,413 sqm,2,4,"9,873,532 EGP",30156.521015224,https://example.com/property/379
Property 380,Villa,Semi Finished,Giza,Cairo,354 sqm,3,3,"2,883,297 EGP",10540.545692247302,https://example.com/property/380
Property 381,Townhouse,Fully Finished,Cairo,Cairo,331 sqm,5,2,"5,341,736 EGP",24514.632679804137,https://example.com/property/381
Property 382,Apartment,Semi Finished,New Cairo,Cairo,192 sqm,5,1,"9,134,221 EGP",34043.646695852105,https://example.com/property/382
Property 383,Villa,Unknown,Giza,North Coast,417 sqm,4,3,"7,959,303 EGP",43944.26207595119,https://example.com/property/383
Property 384,Townhouse,Fully Finished,Sheikh Zayed,Cairo,275 sqm,1,1,"5,130,359 EGP",45545.68455346069,https://example.com/property/384
Property 385,Villa,Semi Finished,Sheikh Zayed,Suez,81 sqm,4,1,"9,481,030 EGP",29353.99880132893,https://example.com/property/385
Property 386,Townhouse,Unknown,Giza,Suez,190 sqm,2,3,"1,043,748 EGP",39136.89949197753,https://example.com/property/386
Property 387,Villa,Fully Finished,Sheikh Zayed,Suez,470 sqm,5,3,"9,344,486 EGP",22658.183061338306,https://example.com/property/387
Property 388,Apartment,Unknown,Maadi,Suez,432 sqm,1,2,"979,820 EGP",23687.456230346295,https://example.com/property/388
Property 389,Apartment,Fully Finished,Maadi,Cairo,491 sqm,2,2,"5,699,395 EGP",17778.54076729255,https://example.com/property/389
Property 390,Villa,Unknown,Maadi,Suez,332 sqm,2,4,"8,959,189 EGP",32477.92439972957,https://example.com/property/390
Property 391,Townhouse,Unknown,Cairo,Cairo,161 sqm,1,1,"2,995,848 EGP",22582.56603709461,https://example.com/property/391
Property 392,Apartment,Semi Finished,Giza,North Coast,123 sqm,2,2,"4,986,360 EGP",13374.835857540202,https://example.com/property/392
Property 393,Apartment,Unknown,Cairo,Suez,134 sqm,1,4,"3,581,124 EGP",37400.24346652715,https://example.com/property/393
Property 394,Apartment,Fully Finished,Sheikh Zayed,Giza,58 sqm,1,2,"9,545,367 EGP",38310.12830421593,https://example.com/property/394
Property 395,Villa,Fully Finished,Cairo,Suez,225 sqm,3,3,"8,324,633 EGP",24399.696751162315,https://example.com/property/395
Property 396,Villa,Semi Finished,Sheikh Zayed,Suez,136 sqm,4,2,"7,235,514 EGP",13068.935978240912,https://example.com/property/396
Property 397,Townhouse,Fully Finished,Sheikh Zayed,Cairo,235 sqm,2,1,"6,082,456 EGP",27051.908696137038,https://example.com/property/397
Property 398,Townhouse,Fully Finished,New Cairo,Suez,470 sqm,2,2,"8,295,621 EGP",27693.41832200862,https://example.com/property/398
Property 399,Townhouse,Fully Finished,Maadi,Giza,243 sqm,3,1,"4,226,536 EGP",36746.83539591572,https://example.com/property/399
Property 400,Villa,Unknown,Sheikh Zayed,Cairo,445 sqm,3,3,"4,751,742 EGP",22616.65565034734,https://example.com/property/400
Property 401,Villa,Unknown,New Cairo,Cairo,322 sqm,3,1,"7,435,016 EGP",37303.97119125222,https://example.com/property/401
Property 402,Townhouse,Fully Finished,Maadi,North Coast,161 sqm,5,2,"3,898,670 EGP",44859.54167029553,https://example.com/property/402
Property 403,Townhouse,Semi Finished,Sheikh Zayed,North Coast,210 sqm,5,4,"1,107,058 EGP",19499.441694487992,https://example.com/property/403
Property 404,Villa,Unknown,Sheikh Zayed,Suez,87 sqm,5,3,"1,206,178 EGP",49156.78224479599,https://example.com/property/404
Property 405,Townhouse,Semi Finished,Cairo,North Coast,200 sqm,1,2,"1,595,946 EGP",25454.725485472278,https://example.com/property/405
Property 406,Apartment,Fully Finished,Cairo,North Coast,354 sqm,2,3,"8,761,972 EGP",20690.347405882472,https://example.com/property/406
Property 407,Villa,Fully Finished,Maadi,North Coast,82 sqm,4,3,"4,986,151 EGP",26860.44730041162,https://example.com/property/407
Property 408,Townhouse,Unknown,Sheikh Zayed,Cairo,142 sqm,1,2,"7,272,382 EGP",13775.899036154366,https://example.com/property/408
Property 409,Villa,Fully Finished,Giza,Cairo,221 sqm,2,2,"4,232,638 EGP",15028.236260484628,https://example.com/property/409
Property 410,Apartment,Unknown,Cairo,Cairo,491 sqm,2,4,"2,957,754 EGP",26577.361878733256,https://example.com/property/410
Property 411,Villa,Fully Finished,Maadi,North Coast,403 sqm,3,3,"3,798,325 EGP",40497.780877564,https://example.com/property/411
Property 412,Villa,Fully Finished,Sheikh Zayed,Cairo,380 sqm,3,3,"8,044,732 EGP",46012.48958297964,https://example.com/property/412
Property 413,Villa,Unknown,Sheikh Zayed,North Coast,102 sqm,1,2,"6,439,553 EGP",36592.71962865084,https://example.com/property/413
Property 414,Villa,Unknown,Giza,Cairo,401 sqm,3,1,"9,407,577 EGP",14208.78220952679,https://example.com/property/414
Property 415,Apartment,Unknown,Maadi,Cairo,403 sqm,2,2,"6,957,195 EGP",36880.7904872214,https://example.com/property/415
Property 416,Villa,Fully Finished,Sheikh Zayed,Giza,320 sqm,3,3,"5,916,725 EGP",35417.11682811887,https://example.com/property/416
Property 417,Villa,Fully Finished,Cairo,Suez,495 sqm,5,2,"6,296,862 EGP",42230.556731733246,https://example.com/property/417
Property 418,Townhouse,Semi Finished,Giza,North Coast,196 sqm,3,4,"9,452,528 EGP",43009.946666087235,https://example.com/property/418
Property 419,Villa,Unknown,Maadi,Giza,473 sqm,2,1,"7,987,908 EGP",44728.12303115916,https://example.com/property/419
Property 420,Townhouse,Fully Finished,Giza,Cairo,461 sqm,1,2,"728,391 EGP",26565.260583163934,https://example.com/property/420
Property 421,Apartment,Fully Finished,Cairo,North Coast,55 sqm,4,4,"5,574,327 EGP",37914.57581408577,https://example.com/property/421
